,satur index,sterol conc,particle,starting conf,compress,perm,perm err,thickness
58,0.2,15,T,fluid,68.81137133928327,27.7496967458154,5.421825870957911,4.19343491576366
59,0.3,15,T,gel,36.012384078822585,26.33654107098277,4.21643162103955,4.0949291552401235
60,0.3,15,T,fluid,64.59172405418381,33.359476284270514,5.890147901560667,4.0931331978672425
61,0.05,15,T,gel,495.6847276941368,1.1999933743385576,0.2545526142029783,4.9610342297601875
62,0.05,15,T,fluid,72.04958286295178,17.478178373800937,2.7119273325127446,4.390700584100422
63,0.5,15,T,gel,57.75559431710566,32.9333803031283,6.488755533464667,3.9433575075633946
64,0.5,15,T,fluid,61.64137361510887,32.19768442470355,5.479505435218188,3.942563971329598
65,0.0,15,T,gel,623.7764465443846,1.0458089241461292,0.23122727289382833,4.966188617948603
66,0.0,15,T,fluid,78.65236318959828,0.7901996233826608,0.16523717935277935,4.970800100851299
67,0.1,15,T,gel,511.71637165437755,1.80830910259449,0.3161627673235583,4.9524023682032166
68,0.1,15,T,fluid,71.34619455200145,21.65385937492991,3.543005746509321,4.315839971646831
69,0.45,15,T,gel,58.73637249001603,27.126674006525057,4.693903057878014,3.971808727535585
70,0.45,15,T,fluid,60.39753371440782,29.786087061864144,4.960184568631381,3.971720199165354
71,0.25,15,T,gel,21.839142818520987,28.429756738163427,5.5026783417982585,4.146234539244546
72,0.25,15,T,fluid,66.1794160780087,24.422413775120244,3.973503580175652,4.137598265043643
73,0.15,15,T,gel,387.8421951951491,1.9773403921618018,0.29667806036301736,4.938880679712348
74,0.15,15,T,fluid,70.08079083647044,24.964934597370164,4.180925326129821,4.253036262617986
75,0.4,15,T,gel,54.49778984243212,32.75902998130665,5.126980813782116,4.006513805110281
76,0.4,15,T,fluid,63.00472485076593,32.1336841269691,5.45408181730185,4.009602321094508
77,0.35,15,T,gel,56.37560028848953,22.826214506028393,4.00435460490509,4.046677712859953
78,0.35,15,T,fluid,65.08787009978859,26.79728839200589,4.346241679205177,4.049190592550751
79,0.2,15,S,gel,6.686742405040279,7.866665459901294,1.9673933529586676,4.222991643297988
80,0.2,15,S,fluid,67.84831404508834,25.926611271246816,4.6029227661150856,4.1930953183472255
