ID,satur index,sterol conc,particle,log10_compress,log10_perm,perm err,starting conf_LOrdered,starting conf_fluid,starting conf_gel
168,0.15,0,2,2.4785068369789323,-0.4096197218875455,0.13785695939361636,0,0,1
169,0.15,0,2,1.7643751904640135,1.5299092837491173,6.664052200425148,0,1,0
170,0.35,0,2,2.540093574236516,-0.32282084038651937,0.12561730300575116,0,0,1
171,0.35,0,2,1.757978022064316,1.5163919487362414,5.880913640575667,0,1,0
172,0.4,0,2,2.4985557404429346,-0.11951931052872089,0.2199405384694612,0,0,1
173,0.4,0,2,1.7626710571981918,1.5084369388479968,5.188113504856533,0,1,0
174,0.2,0,2,2.489282455680481,-0.4442823592426973,0.093940760224259,0,0,1
175,0.2,0,2,1.754636787685868,1.541899219895764,6.0040814333897945,0,1,0
176,0.5,0,2,2.427655526750038,-0.12733763373601611,0.14587678415078675,0,0,1
177,0.5,0,2,1.7643413057924524,1.5849789440100892,6.2096484288128435,0,1,0
178,0.1,0,2,2.498780723789057,-0.5811649294728244,0.07244075285017353,0,0,1
179,0.1,0,2,1.7590954398335952,1.505426246125702,6.15789130554788,0,1,0
180,0.0,0,1,2.51717080040857,-1.2064449520329927,0.18582358780225697,0,0,1
181,0.0,0,1,0.5940259111004776,0.8852997616415582,2.3036610547013523,0,1,0
182,0.45,0,1,2.4528583690341486,-0.7225509468004678,0.0937456073226742,0,0,1
183,0.45,0,1,1.7663169458624668,1.7466616704949514,9.39388011990104,0,1,0
184,0.3,0,1,2.494038975175876,-0.6208575595601076,0.18932273552544016,0,0,1
185,0.3,0,1,1.751007858701484,1.5528646637732915,5.7718941583193155,0,1,0
186,0.05,0,1,2.5262026183412067,-1.3367367862459372,0.040755907564383416,0,0,1
187,0.05,0,1,1.7615589843381723,1.4666431612447153,5.297638709492411,0,1,0
188,0.25,0,1,2.5054099773249945,-1.162244282524776,0.038172376005872435,0,0,1
189,0.25,0,1,1.7574294050341464,1.6774826270070102,10.402784195358283,0,1,0
190,0.15,0,1,2.4664396345989474,-1.0769781467423585,0.057869669493188176,0,0,1
191,0.15,0,1,1.7510108481765359,1.4908677216544395,8.334804329541617,0,1,0
192,0.35,0,1,2.4956928656950685,-1.1341067328984145,0.45397761219321703,0,0,1
193,0.35,0,1,1.765090775283615,1.5215509961847817,6.692151621497214,0,1,0
194,0.4,0,1,2.4363859261554808,-0.34387703323024255,0.20394972456609575,0,0,1
195,0.4,0,1,1.76664918529795,1.597070800974275,6.412969244954997,0,1,0
196,0.2,0,1,2.476586349645204,-1.0934242288444667,0.04504352933881365,0,0,1
197,0.2,0,1,1.7533306727501425,1.607486922138632,7.534988338513128,0,1,0
198,0.5,0,1,2.4048281930001907,-0.6692050179838005,0.059900605877402514,0,0,1
199,0.5,0,1,1.7680266480458724,1.6840474786631217,8.721649487693888,0,1,0
200,0.1,0,1,2.5164395901208105,-0.629597274597723,0.6952042143264179,0,0,1
201,0.1,0,1,1.7492284676830085,1.5123080412708763,6.344147139181027,0,1,0
